anemone_ID,exp_treatment,anemone_diameter_mm,anemone_diameter_m,shell_ID,force_g,force_N,shell_length_mm,shell_width_mm,shell_area_mm^2,shell_area_m^2,tenacity_Pa
M,control,39.8,0.0398,1,42,0.4116,10.85,7.8,66.46824657,6.64682E-05,6192.43054
M,control,39.8,0.0398,2,23,0.2254,3.7,3,8.717919614,8.71792E-06,25854.7922
M,control,39.8,0.0398,3,30,0.294,3.8,2.45,7.312056901,7.31206E-06,40207.56457
M,control,39.8,0.0398,4,90,0.882,12.35,8.05,78.08232191,7.80823E-05,11295.77065
M,control,39.8,0.0398,5,95,0.931,2.8,2,4.398229715,4.39823E-06,211676.0743
M,control,39.8,0.0398,6,89,0.8722,6.1,3.2,15.33097215,1.5331E-05,56891.36941
M,control,39.8,0.0398,7,31,0.3038,3.3,3,7.775441818,7.77544E-06,39071.73472
M,control,39.8,0.0398,8,700,6.86,21,6,98.96016859,9.89602E-05,69320.81966
M,control,39.8,0.0398,9,20,0.196,6.05,4.2,19.95696733,1.9957E-05,9821.131475
M,control,39.8,0.0398,10,100,0.98,4.45,2.6,9.087056751,9.08706E-06,107845.7004
N,treatment,65.6,0.0656,11,20,0.196,8.35,8,52.46459731,5.25E-05,3735.852556
N,treatment,65.6,0.0656,12,10,0.098,8.35,4.1,26.88810612,2.69E-05,3644.734201
N,treatment,65.6,0.0656,13,70,0.686,6.5,4.55,23.22815068,2.32E-05,29533.13027
N,treatment,65.6,0.0656,14,40,0.392,8.4,4.7,31.00751949,3.10E-05,12642.09477
N,treatment,65.6,0.0656,15,70,0.686,3,2.1,4.948008429,4.95E-06,138641.6393
N,treatment,65.6,0.0656,16,20,0.196,6.8,1,5.340707511,5.34E-06,36699.25747
N,treatment,65.6,0.0656,17,160,1.568,9.1,6.9,49.31515068,4.93E-05,31795.50257
N,treatment,65.6,0.0656,18,190,1.862,12.75,4.05,40.55599766,4.06E-05,45911.82827
N,treatment,65.6,0.0656,19,80,0.784,7.85,3.5,21.57881454,2.16E-05,36331.93096
N,treatment,65.6,0.0656,20,170,1.666,5.15,3.1,12.53888168,1.25E-05,132866.7135
O,treatment,84.4,0.0844,21,40,0.392,6.6,5.15,26.69568357,2.67E-05,14684.02182
O,treatment,84.4,0.0844,22,80,0.784,7.6,4.75,28.3528737,2.84E-05,27651.51809
O,treatment,84.4,0.0844,23,40,0.392,4.2,3.7,12.20508746,1.22E-05,32117.75428
O,treatment,84.4,0.0844,24,20,0.196,4.75,4.7,17.534014,1.75E-05,11178.27327
O,treatment,84.4,0.0844,25,50,0.49,6.15,3.5,16.90569547,1.69E-05,28984.31484
O,treatment,84.4,0.0844,26,120,1.176,5,3.45,13.54811832,1.35E-05,86801.72201
O,treatment,84.4,0.0844,27,60,0.588,4.05,3.8,12.08727773,1.21E-05,48646.18923
O,treatment,84.4,0.0844,28,120,1.176,6.3,4.1,20.28683456,2.03E-05,57968.62968
O,treatment,84.4,0.0844,29,80,0.784,4.75,3.7,13.80337272,1.38E-05,56797.71283
O,treatment,84.4,0.0844,30,20,0.196,5,1.45,5.694136685,5.69E-06,34421.37252
P,treatment,41,0.041,31,20,0.196,5.15,2.75,11.12320149,1.11E-05,17620.82618
P,treatment,41,0.041,32,40,0.392,3.35,0.4,1.052433539,1.05E-06,372470.0758
P,treatment,41,0.041,33,50,0.49,4.75,0.85,3.171045085,3.17E-06,154523.1893
P,treatment,41,0.041,34,80,0.784,2.8,2.15,4.728096944,4.73E-06,165817.243
P,treatment,41,0.041,35,60,0.588,4.8,4.25,16.02212253,1.60E-05,36699.25747
P,treatment,41,0.041,36,20,0.196,3.7,3.05,8.863218274,8.86E-06,22113.8636
P,treatment,41,0.041,37,30,0.294,4.1,2.25,7.245298057,7.25E-06,40578.04078
P,treatment,41,0.041,38,26,0.294,6.65,3.25,16.97441781,1.70E-05,17320.18166
P,treatment,41,0.041,39,7,0.098,2.05,1.5,2.415099352,2.42E-06,40578.04078
P,treatment,41,0.041,40,25,0.294,5,3.95,15.51161373,1.55E-05,18953.54056
Q,control,31.4,0.0314,41,30,0.294,2.25,1.9,3.357577149,3.36E-06,87563.14062
Q,control,31.4,0.0314,42,10,0.098,10.85,4.95,42.18177186,4.22E-05,2323.278413
Q,control,31.4,0.0314,43,170,1.666,11.6,5.3,48.28627909,4.83E-05,34502.555
Q,control,31.4,0.0314,44,20,0.196,6.2,1.1,5.356415474,5.36E-06,36591.63501
Q,control,31.4,0.0314,45,170,1.666,9.15,4.75,34.13536768,3.41E-05,48805.68494
Q,control,31.4,0.0314,46,20,0.196,9.8,2.8,21.5513256,2.16E-05,9094.568177
Q,control,31.4,0.0314,47,120,1.176,7.45,2.7,15.79828406,1.58E-05,74438.46406
Q,control,31.4,0.0314,48,80,0.784,5.7,2.4,10.74424688,1.07E-05,72969.28385
Q,control,31.4,0.0314,49,40,0.392,3.05,2,4.790928797,4.79E-06,81821.29533
Q,control,31.4,0.0314,50,100,0.98,6.25,3,14.72621556,1.47E-05,66547.98687
R,control,47,0.047,51,130,1.274,8.2,2.45,15.7786491,1.58E-05,80742.01991
R,control,47,0.047,52,110,1.078,6.7,3.3,17.36515339,1.74E-05,62078.34596
R,control,47,0.047,53,220,2.156,5.75,4.8,21.67698931,2.17E-05,99460.30647
R,control,47,0.047,54,37,0.392,6.85,4,21.51990968,2.15E-05,18215.68984
R,control,47,0.047,55,42,0.392,2.95,2.35,5.444772768,5.44E-06,71995.65835
R,control,47,0.047,56,12,0.098,4.15,0.65,2.118611546,2.12E-06,46256.71006
R,control,47,0.047,57,75,0.784,5,2.65,10.40652567,1.04E-05,75337.34363
R,control,47,0.047,58,17,0.196,1.85,5.05,7.337582342,7.34E-06,26711.79564
R,control,47,0.047,59,20,0.196,7.5,4.35,25.62361508,2.56E-05,7649.193893
R,control,47,0.047,60,80,0.784,2,1.85,2.905973205,2.91E-06,269789.136
T,treatment,31.5,0.0315,61,42,0.392,11,0.3,2.591813939,2.59E-06,151245.4247
T,treatment,31.5,0.0315,62,40,0.392,5.45,2.6,11.12909198,1.11E-05,35222.9994
T,treatment,31.5,0.0315,63,24,0.196,5.35,2.6,10.92488845,1.09E-05,17940.68661
T,treatment,31.5,0.0315,64,2,0.0196,2.85,0.7,1.566869336,1.57E-06,1.25E+04
T,treatment,31.5,0.0315,65,30,0.294,3.65,3.6,10.32013187,1.03E-05,28488.00808
T,treatment,31.5,0.0315,66,75,0.784,7.55,2.35,13.93492691,1.39E-05,56261.50785
T,treatment,31.5,0.0315,67,12,0.098,5,2,7.853981634,7.85E-06,12477.74754
T,treatment,31.5,0.0315,68,28,0.294,4.2,3.35,11.05055216,1.11E-05,26605.00541
T,treatment,31.5,0.0315,69,25,0.294,3.7,2.3,6.683738371,6.68E-06,43987.35912
T,treatment,31.5,0.0315,70,10,0.098,2.55,1.5,3.004147975,3.00E-06,32621.56219
